Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
American Samoa,ASM,"Population, total",SP.POP.TOTL,49761,49225,48342,47521,46765
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200,200,200,..,..
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,25649248,25685412,26014399,26652777,27204809
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,..,..
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1384652202439.55,1494437295625.78,1713614547048.26,1879379921223.82,1936797839321.65
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,447404,451721,455370,458949,462721
Brunei Darussalam,BRN,Surface area (sq. km),AG.SRF.TOTL.K2,5770,5770,5770,..,..
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,31223413949.8832,35346624879.392,37250061034.253,39025627135.7118,41648164901.1898
Cambodia,KHM,"Population, total",SP.POP.TOTL,16725474,16974305,17201724,17423880,17638801
Cambodia,KHM,Surface area (sq. km),AG.SRF.TOTL.K2,181040,181040,181040,..,..
Cambodia,KHM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,99390356590.6425,105674090069.142,119015567874.092,129472162766.306,140580072943.655
China,CHN,"Population, total",SP.POP.TOTL,1411100000,1412360000,1412175000,1410710000,1408975000
China,CHN,Surface area (sq. km),AG.SRF.TOTL.K2,9562910,9562910,9562910,..,..
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25777238693451.8,29438240129870.1,32525464028395.1,35520435397067.7,38190084585497.8
Fiji,FJI,"Population, total",SP.POP.TOTL,914963,916711,919422,924145,928784
Fiji,FJI,Surface area (sq. km),AG.SRF.TOTL.K2,18270,18270,18270,..,..
Fiji,FJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,10279861871.0686,9795237652.39681,12570554288.7776,14002772365.9417,14890504165.0068
French Polynesia,PYF,"Population, total",SP.POP.TOTL,279209,279792,280378,281118,281807
French Polynesia,PYF,Surface area (sq. km),AG.SRF.TOTL.K2,3471,3471,3471,..,..
French Polynesia,PYF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Guam,GUM,"Population, total",SP.POP.TOTL,162158,163730,165180,166506,167777
Guam,GUM,Surface area (sq. km),AG.SRF.TOTL.K2,540,540,540,..,..
Guam,GUM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7481000,7413100,7346100,7536100,7524100
"Hong Kong SAR, China",HKG,Surface area (sq. km),AG.SRF.TOTL.K2,1110,1110,..,..,..
"Hong Kong SAR, China",HKG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,435300511002.663,488411631115.747,503958247509.736,538875248007.027,565930796570.721
Indonesia,IDN,"Population, total",SP.POP.TOTL,274814866,276758053,278830529,281190067,283487931
Indonesia,IDN,Surface area (sq. km),AG.SRF.TOTL.K2,1916906.77,1916906.77,1916906.77,..,..
Indonesia,IDN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3223404542894.6,3530623140454.75,3983074391531.86,4334743944551.08,4662887595103.26
Japan,JPN,"Population, total",SP.POP.TOTL,126261000,125681593,125124989,124516650,123975371
