Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91846,92349,92840,93316,93772
Antigua and Barbuda,ATG,Surface area (sq. km),AG.SRF.TOTL.K2,440,440,440,..,..
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2054603457.83519,2377570792.25983,2779062289.10061,2948949156.32379,3150959938.89349
Argentina,ARG,"Population, total",SP.POP.TOTL,45191965,45312281,45407904,45538401,45696159
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,..,..
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1011999397129.76,1191725417699.43,1343969240640.99,1369900046451.38,1378906089397.47
Aruba,ABW,"Population, total",SP.POP.TOTL,108587,107700,107310,107359,107624
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180,180,180,..,..
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3146467247.47262,3844492519.39592,4469402564.46605,4827649139.53984,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395863,396373,397538,399440,401283
"Bahamas, The",BHS,Surface area (sq. km),AG.SRF.TOTL.K2,13880,13880,13880,..,..
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,10769304826.4195,12313201284.2481,14625921166.6018,15614176109.9621,16532024282.4816
Barbados,BRB,"Population, total",SP.POP.TOTL,281698,282147,282318,282336,282467
Barbados,BRB,Surface area (sq. km),AG.SRF.TOTL.K2,430,430,430,..,..
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4457727484.3495,4425161020.06509,5586046010.36701,6023965379.53364,6404076764.65263
Belize,BLZ,"Population, total",SP.POP.TOTL,390812,395346,402733,411106,417072
Belize,BLZ,Surface area (sq. km),AG.SRF.TOTL.K2,22970,22970,22970,..,..
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3758836239.11244,4616637500.26857,5423194808.06664,5682898282.4383,6294776296.61763
Bolivia,BOL,"Population, total",SP.POP.TOTL,11816299,11937360,12077154,12244159,12413315
Bolivia,BOL,Surface area (sq. km),AG.SRF.TOTL.K2,1098580,1098580,1098580,..,..
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,98004280065.3528,112858166789.685,125263793321.541,133770780373.29,138902580580.686
Brazil,BRA,"Population, total",SP.POP.TOTL,208660842,209550294,210306415,211140729,211998573
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8510417.771,..,..
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3359777233364.89,3787769507585.78,4180229770180.59,4471035569136.8,4734651403044.36
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,37135,37809,38319,38985,39471
British Virgin Islands,VGB,Surface area (sq. km),AG.SRF.TOTL.K2,150,150,150,..,..
British Virgin Islands,VGB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,68684,70108,71591,73038,74457
Cayman Islands,CYM,Surface area (sq. km),AG.SRF.TOTL.K2,264,264,264,..,..
Cayman Islands,CYM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4541293667.09992,5198568359.3221,5856365563.73081,6331606438.29745,..
Chile,CHL,"Population, total",SP.POP.TOTL,19370624,19456334,19553036,19658835,19764771
Chile,CHL,Surface area (sq. km),AG.SRF.TOTL.K2,756700,756700,756700,..,..
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,491062045094.545,565981846554.521,602631465819.443,644836890413.857,684594682203.973
Colombia,COL,"Population, total",SP.POP.TOTL,50629997,51188173,51737944,52321152,52886363
Colombia,COL,Surface area (sq. km),AG.SRF.TOTL.K2,1140619.05,1140619.05,1140619.05,..,..
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,785737564322.414,889808627041.398,1070755175690.69,1095839760556.08,1136771232492.38
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5034320,5059988,5081765,5105525,5129910
Costa Rica,CRI,Surface area (sq. km),AG.SRF.TOTL.K2,51100,51100,51100,..,..
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,111257806526.907,120695515793.091,131743438291.443,143338340238.733,154219710536.776
Cuba,CUB,"Population, total",SP.POP.TOTL,11176354,11122168,11059820,11019931,10979783
Cuba,CUB,Surface area (sq. km),AG.SRF.TOTL.K2,109880,109880,109880,..,..
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Curacao,CUW,"Population, total",SP.POP.TOTL,154947,152369,149996,155800,155900
Curacao,CUW,Surface area (sq. km),AG.SRF.TOTL.K2,444,444,444,..,..
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3377382703.96868,3834193240.62081,4432992604.20274,4785486256.0917,..
Dominica,DMA,"Population, total",SP.POP.TOTL,67573,67202,66826,66510,66205
Dominica,DMA,Surface area (sq. km),AG.SRF.TOTL.K2,750,750,750,..,..
Dominica,DMA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,962493750.735115,1062394694.29521,1256467931.15199,1349220673.88532,1410211841.8057
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11008300,11123476,11230734,11331265,11427557
Dominican Republic,DOM,Surface area (sq. km),AG.SRF.TOTL.K2,146839.463,146839.463,146839.463,..,..
Dominican Republic,DOM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,209139062581.87,245311121758.829,276565908801.115,292799158645.68,314728445100.483
Ecuador,ECU,"Population, total",SP.POP.TOTL,17546065,17682454,17823897,17980083,18135478
Ecuador,ECU,Surface area (sq. km),AG.SRF.TOTL.K2,256370,256370,256370,..,..
Ecuador,ECU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,202250004868.163,238844767157.606,270888879826.819,286216244218.746,287270811094.559
El Salvador,SLV,"Population, total",SP.POP.TOTL,6234673,6255782,6280319,6309624,6338193
