Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860,652860,652860,..,..
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,100094011602.726,85767546197.7544,86148711748.6848,91271896894.46,..
Albania,ALB,"Population, total",SP.POP.TOTL,2837849,2811666,2777689,2745972,2714617
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750,28750,28750,..,..
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,41182550727.6019,45343111967.1762,54011348459.4688,58378809433.5428,63760906790.7788
Algeria,DZA,"Population, total",SP.POP.TOTL,44042091,44761099,45477389,46164219,46814308
Algeria,DZA,Surface area (sq. km),AG.SRF.TOTL.K2,2381741,2381741,2381741,..,..
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,558300141593.952,648895630480.26,720184226953.646,776689344138.3,821720979879.888
American Samoa,ASM,"Population, total",SP.POP.TOTL,49761,49225,48342,47521,46765
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200,200,200,..,..
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,77380,78364,79705,80856,81938
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,470,470,470,..,..
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4031176207.5678,4649508748.84024,5457407403.46601,5799854946.96513,6140390670.0909
Angola,AGO,"Population, total",SP.POP.TOTL,33451132,34532429,35635029,36749906,37885849
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,1246700,1246700,1246700,..,..
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,215784887951.053,255820605533.992,282403642417.848,295719779328.449,316269278905.416
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91846,92349,92840,93316,93772
Antigua and Barbuda,ATG,Surface area (sq. km),AG.SRF.TOTL.K2,440,440,440,..,..
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2054603457.83519,2377570792.25983,2779062289.10061,2948949156.32379,3150959938.89349
Argentina,ARG,"Population, total",SP.POP.TOTL,45191965,45312281,45407904,45538401,45696159
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400,2780400,2780400,..,..
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1011999397129.76,1191725417699.43,1343969240640.99,1369900046451.38,1378906089397.47
Armenia,ARM,"Population, total",SP.POP.TOTL,2961500,2962300,2969200,2964300,3033500
Armenia,ARM,Surface area (sq. km),AG.SRF.TOTL.K2,29740,29740,29740,..,..
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43552758696.8095,47164867556.762,56893939956.673,63833326718.2115,69234115090.8141
Aruba,ABW,"Population, total",SP.POP.TOTL,108587,107700,107310,107359,107624
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180,180,180,..,..
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3146467247.47262,3844492519.39592,4469402564.46605,4827649139.53984,..
Australia,AUS,"Population, total",SP.POP.TOTL,25649248,25685412,26014399,26652777,27204809
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220,7741220,7741220,..,..
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1384652202439.55,1494437295625.78,1713614547048.26,1879379921223.82,1936797839321.65
Austria,AUT,"Population, total",SP.POP.TOTL,8916864,8955797,9041851,9131761,9178482
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,83879,83879,83879,..,..
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,521841933098.152,563937063927.258,639574811164.391,643595441773.677,657343622086.766
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121,10137750,10141756,10153958,10202850
Azerbaijan,AZE,Surface area (sq. km),AG.SRF.TOTL.K2,86600,86600,86600,..,..
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,153047750160.236,203884098954.124,228717780540.74,240157347500.686,255978795310.91
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395863,396373,397538,399440,401283
"Bahamas, The",BHS,Surface area (sq. km),AG.SRF.TOTL.K2,13880,13880,13880,..,..
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,10769304826.4195,12313201284.2481,14625921166.6018,15614176109.9621,16532024282.4816
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472204,1504365,1524693,1577059,1588670
Bahrain,BHR,Surface area (sq. km),AG.SRF.TOTL.K2,785,790,790,..,..
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,78668739612.8244,82671890844.1512,94039487080.4043,101201588299.581,106776082045.154
Bangladesh,BGD,"Population, total",SP.POP.TOTL,166298024,167658854,169384897,171466990,173562364
Bangladesh,BGD,Surface area (sq. km),AG.SRF.TOTL.K2,147570,147570,147570,..,..
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1104316059486.83,1247561124482.2,1431395376250.57,1568541874255.92,1674316179059.49
Barbados,BRB,"Population, total",SP.POP.TOTL,281698,282147,282318,282336,282467
Barbados,BRB,Surface area (sq. km),AG.SRF.TOTL.K2,430,430,430,..,..
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4457727484.3495,4425161020.06509,5586046010.36701,6023965379.53364,6404076764.65263
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952,9302585,9228071,9178298,9133712
Belarus,BLR,Surface area (sq. km),AG.SRF.TOTL.K2,207610,207630,207630,..,..
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,233301042735.647,256855349956.29,262349397260.188,283005268450.188,301471103995.527
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604,11586195,11680210,11787423,11876844
Belgium,BEL,Surface area (sq. km),AG.SRF.TOTL.K2,30689,30689,30689,..,..
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,647547562363.422,702925341289.817,796097823446.673,814029729290.6,856629284653.932
Belize,BLZ,"Population, total",SP.POP.TOTL,390812,395346,402733,411106,417072
Belize,BLZ,Surface area (sq. km),AG.SRF.TOTL.K2,22970,22970,22970,..,..
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3758836239.11244,4616637500.26857,5423194808.06664,5682898282.4383,6294776296.61763
Benin,BEN,"Population, total",SP.POP.TOTL,13070169,13413417,13759501,14111034,14462724
Benin,BEN,Surface area (sq. km),AG.SRF.TOTL.K2,114760,114760,114760,..,..
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,42407309934.6404,46467947984.7692,52893642973.6996,58278092338.3684,64135878351.0355
Bermuda,BMU,"Population, total",SP.POP.TOTL,64382,64648,64749,64698,64636
Bermuda,BMU,Surface area (sq. km),AG.SRF.TOTL.K2,4290,4290,4290,..,..
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5481895565.20419,5968282122.23481,6807865902.96515,7399642886.20114,7738130438.58606
Bhutan,BTN,"Population, total",SP.POP.TOTL,770006,775442,780914,786385,791524
Bhutan,BTN,Surface area (sq. km),AG.SRF.TOTL.K2,38390,38390,38390,..,..
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9605861812.92756,10436528611.9245,11763540572.3864,12781872654.6775,..
Bolivia,BOL,"Population, total",SP.POP.TOTL,11816299,11937360,12077154,12244159,12413315
Bolivia,BOL,Surface area (sq. km),AG.SRF.TOTL.K2,1098580,1098580,1098580,..,..
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,98004280065.3528,112858166789.685,125263793321.541,133770780373.29,138902580580.686
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3299349,3244907,3204802,3185073,3164253
Bosnia and Herzegovina,BIH,Surface area (sq. km),AG.SRF.TOTL.K2,51210,51210,51210,..,..
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,54009573841.6375,59335302230.9235,67671426889.4646,71692427234.3962,69521962129.1886
Botswana,BWA,"Population, total",SP.POP.TOTL,2365894,2401441,2439892,2480244,2521139
Botswana,BWA,Surface area (sq. km),AG.SRF.TOTL.K2,581730,581730,581730,..,..
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,36179872025.3284,43131382324.765,48741318383.3474,52115142882.6254,51779485612.7835
Brazil,BRA,"Population, total",SP.POP.TOTL,208660842,209550294,210306415,211140729,211998573
Brazil,BRA,Surface area (sq. km),AG.SRF.TOTL.K2,8515770,8515770,8510417.771,..,..
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3359777233364.89,3787769507585.78,4180229770180.59,4471035569136.8,4734651403044.36
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,37135,37809,38319,38985,39471
British Virgin Islands,VGB,Surface area (sq. km),AG.SRF.TOTL.K2,150,150,150,..,..
British Virgin Islands,VGB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,447404,451721,455370,458949,462721
Brunei Darussalam,BRN,Surface area (sq. km),AG.SRF.TOTL.K2,5770,5770,5770,..,..
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,31223413949.8832,35346624879.392,37250061034.253,39025627135.7118,41648164901.1898
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6550696,6507301,6465097,6446596,6444366
