Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Angola,AGO,"Population, total",SP.POP.TOTL,33451132,34532429,35635029,36749906,37885849
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,1246700,1246700,1246700,..,..
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,215784887951.053,255820605533.992,282403642417.848,295719779328.449,316269278905.416
Benin,BEN,"Population, total",SP.POP.TOTL,13070169,13413417,13759501,14111034,14462724
Benin,BEN,Surface area (sq. km),AG.SRF.TOTL.K2,114760,114760,114760,..,..
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,42407309934.6404,46467947984.7692,52893642973.6996,58278092338.3684,64135878351.0355
Botswana,BWA,"Population, total",SP.POP.TOTL,2365894,2401441,2439892,2480244,2521139
Botswana,BWA,Surface area (sq. km),AG.SRF.TOTL.K2,581730,581730,581730,..,..
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,36179872025.3284,43131382324.765,48741318383.3474,52115142882.6254,51779485612.7835
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21478690,21995243,22509038,23025776,23548781
Burkina Faso,BFA,Surface area (sq. km),AG.SRF.TOTL.K2,274200,274200,274200,..,..
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,51134807594.6267,54689652540.5665,59465954759.397,63429415199.2733,68201683192.8703
Burundi,BDI,"Population, total",SP.POP.TOTL,12617036,12965481,13321097,13689450,14047786
Burundi,BDI,Surface area (sq. km),AG.SRF.TOTL.K2,27830,27830,27830,..,..
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9923498550.19194,10847771568.5348,11836036574.1336,12588790450.8385,13343073380.4774
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,514679,516649,519741,522331,524877
Cabo Verde,CPV,Surface area (sq. km),AG.SRF.TOTL.K2,4030,4030,4030,..,..
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3526877323.02085,3970664151.46117,4927702546.11045,5380239592.51596,5911044392.74439
Cameroon,CMR,"Population, total",SP.POP.TOTL,26210558,26915758,27632771,28372687,29123744
Cameroon,CMR,Surface area (sq. km),AG.SRF.TOTL.K2,475440,475440,475440,..,..
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,114420802871.501,129022200845.744,143385827220.975,153370677810.357,162845309666.946
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5026628,5112100,5098039,5152421,5330690
Central African Republic,CAF,Surface area (sq. km),AG.SRF.TOTL.K2,622980,622980,622980,..,..
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5359843442.72162,5769272621.61696,6208645631.10986,6477079364.49913,6735836123.99946
Chad,TCD,"Population, total",SP.POP.TOTL,17224679,17828273,18455316,19319064,20299123
Chad,TCD,Surface area (sq. km),AG.SRF.TOTL.K2,1284000,1284000,1284000,..,..
Chad,TCD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,37652981933.4921,43413141699.6579,52506266944.3359,56635362494.0746,60124620441.2808
Comoros,COM,"Population, total",SP.POP.TOTL,802163,818174,834188,850387,866628
Comoros,COM,Surface area (sq. km),AG.SRF.TOTL.K2,1861,1861,1861,..,..
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2616330804.01696,2821917777.54899,3108308931.75495,3318845023.61956,3514286024.8808
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,95989998,99148932,102396968,105789731,109276265
"Congo, Dem. Rep.",COD,Surface area (sq. km),AG.SRF.TOTL.K2,2344860,2344860,2344860,..,..
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,109045443618.14,130243843399.282,151981795496.983,171005766912.844,186833135551.667
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5752791,5892183,6035104,6182885,6332961
"Congo, Rep.",COG,Surface area (sq. km),AG.SRF.TOTL.K2,342000,342000,342000,..,..
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,27446361623.0188,36903988991.0873,40118334632.1584,42354479275.5663,44497676671.9019
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28915449,29639736,30395002,31165654,31934230
Cote d'Ivoire,CIV,Surface area (sq. km),AG.SRF.TOTL.K2,322460,322460,322460,..,..
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,160302939789.704,179178274483.428,204237508213.331,225235088913.669,244407043373.227
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1716468,1758786,1803545,1847549,1892516
Equatorial Guinea,GNQ,Surface area (sq. km),AG.SRF.TOTL.K2,28050,28050,28050,..,..
Equatorial Guinea,GNQ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,23476322655.934,29585328380.1352,32716287050.0915,32168599846.5359,33245374421.9212
Eritrea,ERI,"Population, total",SP.POP.TOTL,3291271,3350183,3409447,3470390,3535603
Eritrea,ERI,Surface area (sq. km),AG.SRF.TOTL.K2,121630.327,121630.327,121630.327,..,..
Eritrea,ERI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1192729,1206593,1218917,1230506,1242822
Eswatini,SWZ,Surface area (sq. km),AG.SRF.TOTL.K2,17360,17360,17360,..,..
Eswatini,SWZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,11089502959.4158,12000822909.8146,13000358552.0008,13932070260.5826,14645762517.3661
Ethiopia,ETH,"Population, total",SP.POP.TOTL,118917671,122138588,125384287,128691692,132059767
Ethiopia,ETH,Surface area (sq. km),AG.SRF.TOTL.K2,1136239.7,1136239.7,1136239.7,..,..
Ethiopia,ETH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,286209788226.356,316145121458.38,356708609996.737,393913047366.849,432956582272.738
Gabon,GAB,"Population, total",SP.POP.TOTL,2322539,2376722,2430747,2484789,2538952
Gabon,GAB,Surface area (sq. km),AG.SRF.TOTL.K2,267670,267670,267670,..,..
Gabon,GAB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33623700958.8772,44025399637.0532,48596848106.4511,51576945114.2288,54611645902.5402
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2515733,2576010,2636470,2697845,2759988
"Gambia, The",GMB,Surface area (sq. km),AG.SRF.TOTL.K2,11300,11300,11300,..,..
"Gambia, The",GMB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6366827515.11477,7155630814.36372,8086871862.08048,8779798182.33222,9508853052.23079
Ghana,GHA,"Population, total",SP.POP.TOTL,31887809,32518665,33149152,33787914,34427414
Ghana,GHA,Surface area (sq. km),AG.SRF.TOTL.K2,238533,238533,238533,..,..
Ghana,GHA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,192835182975.95,214867175690.96,238944324844.797,255315535798.758,276354650562.227
Guinea,GIN,"Population, total",SP.POP.TOTL,13371183,13710513,14055137,14405468,14754785
Guinea,GIN,Surface area (sq. km),AG.SRF.TOTL.K2,245860,245860,245860,..,..
Guinea,GIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,44550864730.0015,51260936277.8168,57097045519.8568,62429641817.0929,67563663630.9152
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2013255,2058841,2105529,2153339,2201352
Guinea-Bissau,GNB,Surface area (sq. km),AG.SRF.TOTL.K2,36130,36130,36130,..,..
Guinea-Bissau,GNB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4651372626.0746,5113853513.57436,5784423379.20533,6260059859.57007,6720047738.84264
Kenya,KEN,"Population, total",SP.POP.TOTL,52217334,53219166,54252461,55339003,56432944
Kenya,KEN,Surface area (sq. km),AG.SRF.TOTL.K2,580370,580370,580370,..,..
Kenya,KEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,250255393335.358,284129273925.386,319179328511.243,349035957917.845,373549891750.11
Lesotho,LSO,"Population, total",SP.POP.TOTL,2235727,2261542,2286110,2311472,2337423
Lesotho,LSO,Surface area (sq. km),AG.SRF.TOTL.K2,30360,30360,30360,..,..
Lesotho,LSO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5721443976.33825,5755132494.46552,6312660804.56615,6659272958.62664,7008693666.1915
Liberia,LBR,"Population, total",SP.POP.TOTL,5149463,5259323,5373294,5493031,5612817
Liberia,LBR,Surface area (sq. km),AG.SRF.TOTL.K2,111370,111370,111370,..,..
Liberia,LBR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8545642458.19244,8095196890.78495,9089317746.92568,9857427644.16015,10579672532.0552
Madagascar,MDG,"Population, total",SP.POP.TOTL,28953556,29691083,30437261,31195932,31964956
Madagascar,MDG,Surface area (sq. km),AG.SRF.TOTL.K2,587295,587295,587295,..,..
Madagascar,MDG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43150154155.6067,46835678113.5552,52260133350.5089,56416214294.2179,60207191110.5255
Malawi,MWI,"Population, total",SP.POP.TOTL,19533888,20047258,20568728,21104482,21655286
Malawi,MWI,Surface area (sq. km),AG.SRF.TOTL.K2,118480,118480,118480,..,..
Malawi,MWI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,29563756336.0156,33831623933.4187,36577488742.4275,38610812096.7184,40266877390.592
Mali,MLI,"Population, total",SP.POP.TOTL,21713836,22388630,23072640,23769127,24478595
Mali,MLI,Surface area (sq. km),AG.SRF.TOTL.K2,1240190,1240190,1240190,..,..
Mali,MLI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,59141995694.5382,62603712698.5219,69419933564.9113,75310419236.7841,80991580402.8523
Mauritania,MRT,"Population, total",SP.POP.TOTL,4600131,4734874,4875637,5022441,5169395
Mauritania,MRT,Surface area (sq. km),AG.SRF.TOTL.K2,1030700,1030700,1030700,..,..
Mauritania,MRT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26408154182.6331,27635403694.625,31617666980.5464,34886849205.0866,37588430731.7267
Mauritius,MUS,"Population, total",SP.POP.TOTL,1266014,1266334,1262523,1261041,1259509
Mauritius,MUS,Surface area (sq. km),AG.SRF.TOTL.K2,2007,2007,2010,..,..
Mauritius,MUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,26999298652.9561,28793361692.7371,33527657824.4858,36473533933.3164,39108930779.9098
Mozambique,MOZ,"Population, total",SP.POP.TOTL,30783688,31707800,32656246,33635160,34631766
Mozambique,MOZ,Surface area (sq. km),AG.SRF.TOTL.K2,799380,799380,799380,..,..
Mozambique,MOZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43454882038.8104,46205728911.2947,51660358771.4538,56429069634.9957,58863787008.2917
Namibia,NAM,"Population, total",SP.POP.TOTL,2728762,2810548,2889662,2963095,3030131
Namibia,NAM,Surface area (sq. km),AG.SRF.TOTL.K2,824290,824290,824290,..,..
Namibia,NAM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25525198217.6345,27287889637.5942,30811603933.0551,33338484196.9914,35411935194.1771
Niger,NER,"Population, total",SP.POP.TOTL,23717613,24502140,25311973,26159867,27032412
Niger,NER,Surface area (sq. km),AG.SRF.TOTL.K2,1267000,1267000,1267000,..,..
Niger,NER,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,35501317683.8958,38850574077.5224,46573248097.999,49053754855.8382,54470927080.1992
Nigeria,NGA,"Population, total",SP.POP.TOTL,213996181,218529286,223150896,227882945,232679478
Nigeria,NGA,Surface area (sq. km),AG.SRF.TOTL.K2,923770,923770,923770,..,..
Nigeria,NGA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1145672541683.2,1200097354375.41,1327463569776.87,1414565464577.3,1498412309012.06
Rwanda,RWA,"Population, total",SP.POP.TOTL,13065837,13355260,13651030,13954471,14256567
Rwanda,RWA,Surface area (sq. km),AG.SRF.TOTL.K2,26340,26340,26340,..,..
Rwanda,RWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,29854116562.1372,36505744034.3984,42300132773.9933,47437550805.895,52904129982.2052
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,217435,221961,226305,230871,235536
Sao Tome and Principe,STP,Surface area (sq. km),AG.SRF.TOTL.K2,960,960,960,..,..
Sao Tome and Principe,STP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1118602098.8079,1272434617.36875,1365452217.67886,1419852369.84081,1467273474.71863
Senegal,SEN,"Population, total",SP.POP.TOTL,16789219,17220867,17651103,18077573,18501984
Senegal,SEN,Surface area (sq. km),AG.SRF.TOTL.K2,196710,196710,196710,..,..
Senegal,SEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,63008586953.5983,71874343647.3324,79963390334.37,86367675226.1367,94552533446.064
Seychelles,SYC,"Population, total",SP.POP.TOTL,98462,99258,119878,119773,121354
Seychelles,SYC,Surface area (sq. km),AG.SRF.TOTL.K2,460,460,460,..,..
Seychelles,SYC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3057830378.36233,2975737695.0276,3593088408.93978,3806479822.17321,4033634641.49159
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7912558,8094602,8276807,8460512,8642022
Sierra Leone,SLE,Surface area (sq. km),AG.SRF.TOTL.K2,72300,72300,72300,..,..
Sierra Leone,SLE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,21532775187.7736,23085417016.3665,26045397865.5962,28523326333.4677,30381570304.5728
Somalia,SOM,"Population, total",SP.POP.TOTL,16651191,17271431,17801897,18358615,19009151
Somalia,SOM,Surface area (sq. km),AG.SRF.TOTL.K2,637660,637660,637660,..,..
Somalia,SOM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,24216384566.5524,24049850383.6657,26467106675.8023,28575608117.4546,30429157389.6073
South Africa,ZAF,"Population, total",SP.POP.TOTL,60562381,61502603,62378410,63212384,64007187
South Africa,ZAF,Surface area (sq. km),AG.SRF.TOTL.K2,1219090,1219090,1219090,..,..
South Africa,ZAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,767391152773.916,843280245239.583,920670092262.266,960461552882.65,989390398251.402
South Sudan,SSD,"Population, total",SP.POP.TOTL,10698467,10865780,11021177,11483374,11943408
South Sudan,SSD,Surface area (sq. km),AG.SRF.TOTL.K2,646883,646883,646883,..,..
South Sudan,SSD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Sudan,SDN,"Population, total",SP.POP.TOTL,46789231,48066924,49383346,50042791,50448963
Sudan,SDN,Surface area (sq. km),AG.SRF.TOTL.K2,1878000,1878000,1878000,..,..
Sudan,SDN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,156677404687.453,156168260027.791,165699797555.15,121136486067.806,107325139957.427
Tanzania,TZA,"Population, total",SP.POP.TOTL,60972798,62830412,64711821,66617606,68560157
Tanzania,TZA,Surface area (sq. km),AG.SRF.TOTL.K2,947300,947300,947300,..,..
Tanzania,TZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,194561908147.279,212790081675.953,238369618090.938,259466130648.377,280425918025.025
Togo,TGO,"Population, total",SP.POP.TOTL,8669720,8878379,9089738,9304337,9515236
Togo,TGO,Surface area (sq. km),AG.SRF.TOTL.K2,56790,56790,56790,..,..
Togo,TGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,20432437140.6536,22881375789.0174,25924518421.0834,28578384313.6457,30820719452.2057
Uganda,UGA,"Population, total",SP.POP.TOTL,44457152,45910930,47312719,48656601,50015092
Uganda,UGA,Surface area (sq. km),AG.SRF.TOTL.K2,241550,241550,241550,..,..
Uganda,UGA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,112575267254.241,123267190675.87,138114236789.416,150720488734.493,163837595822.047
Zambia,ZMB,"Population, total",SP.POP.TOTL,19059395,19603607,20152938,20723965,21314956
Zambia,ZMB,Surface area (sq. km),AG.SRF.TOTL.K2,752610,752610,752610,..,..
Zambia,ZMB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,60176229608.2428,68672119764.9363,77401882826.5905,84491503485.3915,90033312819.5772
