Country Name,Population_Rank,GDP_Market_PPP_Rank,Area_Rank,GDP_Per_Capita_Rank,Combined_Score
United States,3,2,3,11,853
Russian Federation,9,4,1,52,806
Canada,38,15,2,28,789
China,2,1,4,82,783
Saudi Arabia,47,17,12,24,772
Australia,55,19,6,26,766
Germany,19,6,64,20,763
France,21,9,49,31,762
Brazil,7,7,5,91,762
Mexico,10,13,13,83,753
Japan,12,5,63,42,750
Turkiye,18,12,36,59,747
Spain,31,16,53,40,732
Italy,25,11,72,33,731
Indonesia,4,8,14,116,730
United Kingdom,22,10,79,32,729
Argentina,34,28,8,74,728
India,1,3,7,136,725
"Egypt, Arab Rep.",14,18,29,102,709
"Iran, Islamic Rep.",17,22,17,108,708
Kazakhstan,63,38,9,61,701
Colombia,28,31,25,92,696
Poland,41,20,70,46,695
Thailand,20,21,52,86,693
"Korea, Rep.",29,14,109,39,681
South Africa,24,32,24,113,679
Algeria,33,39,10,111,679
Sweden,89,40,50,25,668
Malaysia,44,29,68,65,666
Norway,117,48,43,6,658
Chile,64,44,37,70,657
Nigeria,6,26,31,153,656
Peru,45,47,19,109,652
Pakistan,5,24,35,156,652
Viet Nam,16,25,67,118,646
Romania,65,33,82,51,641
Ukraine,36,41,45,110,640
Netherlands,70,27,132,12,631
Philippines,13,30,73,133,623
United Arab Emirates,94,37,110,14,617
Iraq,35,45,59,119,614
Bangladesh,8,23,93,139,609
Angola,42,63,22,140,605
Finland,116,58,66,30,602
Belgium,80,35,137,23,597
Ethiopia,11,56,26,183,596
Switzerland,100,36,133,8,595
Austria,99,43,117,19,594
Myanmar,27,62,39,157,587
Czechia,86,46,118,35,587
Ireland,120,42,121,3,586
Uzbekistan,43,55,57,131,586
Kenya,26,60,48,155,583
Morocco,40,57,58,135,582
Tanzania,23,68,30,172,579
Greece,87,54,97,58,576
New Zealand,121,66,75,34,576
Portugal,88,51,112,48,573
"Congo, Dem. Rep.",15,81,11,197,568
Denmark,113,52,131,13,563
Hungary,95,53,111,50,563
Sudan,30,84,15,182,561
Belarus,97,65,85,72,553
Dominican Republic,83,64,95,80,550
Ecuador,68,67,77,112,548
Bolivia,79,90,27,132,544
Oman,126,76,71,55,544
Israel,96,50,149,37,540
Singapore,115,34,184,2,537
Ghana,46,69,81,144,532
