Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,"Population, total",SP.POP.TOTL,2837849,2811666,2777689,2745972,2714617
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750,28750,28750,..,..
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,41182550727.6019,45343111967.1762,54011348459.4688,58378809433.5428,63760906790.7788
Andorra,AND,"Population, total",SP.POP.TOTL,77380,78364,79705,80856,81938
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,470,470,470,..,..
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4031176207.5678,4649508748.84024,5457407403.46601,5799854946.96513,6140390670.0909
Armenia,ARM,"Population, total",SP.POP.TOTL,2961500,2962300,2969200,2964300,3033500
Armenia,ARM,Surface area (sq. km),AG.SRF.TOTL.K2,29740,29740,29740,..,..
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43552758696.8095,47164867556.762,56893939956.673,63833326718.2115,69234115090.8141
Austria,AUT,"Population, total",SP.POP.TOTL,8916864,8955797,9041851,9131761,9178482
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,83879,83879,83879,..,..
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,521841933098.152,563937063927.258,639574811164.391,643595441773.677,657343622086.766
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121,10137750,10141756,10153958,10202850
Azerbaijan,AZE,Surface area (sq. km),AG.SRF.TOTL.K2,86600,86600,86600,..,..
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,153047750160.236,203884098954.124,228717780540.74,240157347500.686,255978795310.91
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952,9302585,9228071,9178298,9133712
Belarus,BLR,Surface area (sq. km),AG.SRF.TOTL.K2,207610,207630,207630,..,..
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,233301042735.647,256855349956.29,262349397260.188,283005268450.188,301471103995.527
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604,11586195,11680210,11787423,11876844
Belgium,BEL,Surface area (sq. km),AG.SRF.TOTL.K2,30689,30689,30689,..,..
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,647547562363.422,702925341289.817,796097823446.673,814029729290.6,856629284653.932
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3299349,3244907,3204802,3185073,3164253
Bosnia and Herzegovina,BIH,Surface area (sq. km),AG.SRF.TOTL.K2,51210,51210,51210,..,..
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,54009573841.6375,59335302230.9235,67671426889.4646,71692427234.3962,69521962129.1886
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6550696,6507301,6465097,6446596,6444366
Bulgaria,BGR,Surface area (sq. km),AG.SRF.TOTL.K2,111000,111000,111000,..,..
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,179335119678.68,201543561665.616,231539013106.012,241758558129.681,264773991018.955
Channel Islands,CHI,"Population, total",SP.POP.TOTL,166235,166741,167215,167691,168126
Channel Islands,CHI,Surface area (sq. km),AG.SRF.TOTL.K2,198,198,..,..,..
Channel Islands,CHI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Croatia,HRV,"Population, total",SP.POP.TOTL,3914206,3878981,3855641,3859686,3866300
Croatia,HRV,Surface area (sq. km),AG.SRF.TOTL.K2,88070,88070,88070,..,..
Croatia,HRV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,123671816269.506,143252591939.266,161768265159.848,175984781670.004,187806348373.77
Cyprus,CYP,"Population, total",SP.POP.TOTL,1302247,1317309,1331370,1344976,1358282
Cyprus,CYP,Surface area (sq. km),AG.SRF.TOTL.K2,9250,9250,9250,..,..
Cyprus,CYP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38671633329.1217,43920515191.9816,51058053141.5668,53034544401.9318,57562280958.7891
Czechia,CZE,"Population, total",SP.POP.TOTL,10697858,10505772,10672118,10864042,10882164
Czechia,CZE,Surface area (sq. km),AG.SRF.TOTL.K2,78871.01,78871.04,78871.47,..,..
Czechia,CZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,479686413475.523,502134232985.641,551853486423.138,578154104196.061,618168364251.941
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404,5856733,5903037,5946952,5976992
Denmark,DNK,Surface area (sq. km),AG.SRF.TOTL.K2,42920,42920,42920,..,..
Denmark,DNK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,365525756328.655,408303200976.802,456897040142.032,438513061150.911,475256247950.47
Estonia,EST,"Population, total",SP.POP.TOTL,1329522,1330932,1348840,1370286,1371986
Estonia,EST,Surface area (sq. km),AG.SRF.TOTL.K2,45340,45340,45340,..,..
Estonia,EST,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,54074496993.4123,58895787305.748,64477259538.1489,64116051940.5513,67685292223.1433
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,52567,53305,53927,54439,54719
Faroe Islands,FRO,Surface area (sq. km),AG.SRF.TOTL.K2,12959.67,12960,12960,..,..
Faroe Islands,FRO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3240676994.6779,3612505897.96273,4007679026.98816,4255233982.57627,..
Finland,FIN,"Population, total",SP.POP.TOTL,5529543,5541017,5556106,5583911,5637214
Finland,FIN,Surface area (sq. km),AG.SRF.TOTL.K2,338460,338470,338470,..,..
Finland,FIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,294705726881.034,314676442275.461,340851311803.993,344041186768.172,361295951878.505
France,FRA,"Population, total",SP.POP.TOTL,67601110,67842811,68065015,68287487,68516699
France,FRA,Surface area (sq. km),AG.SRF.TOTL.K2,549086.87,549087.37,549087.37,..,..
France,FRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3345024904336.18,3562923665911.39,3823961003427.32,3982377923514.52,4201559866305.39
Georgia,GEO,"Population, total",SP.POP.TOTL,3722716,3708610,3712502,3715483,3673850
Georgia,GEO,Surface area (sq. km),AG.SRF.TOTL.K2,69700,69700,69700,..,..
Georgia,GEO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,62509091761.2555,70150781357.7257,83387742354.0657,93154469864.0276,104402557696.264
Germany,DEU,"Population, total",SP.POP.TOTL,83160871,83196078,83797985,83901923,83510950
Germany,DEU,Surface area (sq. km),AG.SRF.TOTL.K2,357590,357590,357600,..,..
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4880368289108.08,5202314428956.09,5663892390556.96,5763465942185.64,6037851748487.12
Gibraltar,GIB,"Population, total",SP.POP.TOTL,36173,36858,37609,38471,39329
Gibraltar,GIB,Surface area (sq. km),AG.SRF.TOTL.K2,10,10,..,..,..
Gibraltar,GIB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Greece,GRC,"Population, total",SP.POP.TOTL,10698599,10569207,10436882,10405588,10388805
Greece,GRC,Surface area (sq. km),AG.SRF.TOTL.K2,131960,131960,131960,..,..
Greece,GRC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,315962662965.275,354397719330.584,406715086017.971,428522833617.814,457879263225.249
Greenland,GRL,"Population, total",SP.POP.TOTL,56367,56653,56661,56865,56836
Greenland,GRL,Surface area (sq. km),AG.SRF.TOTL.K2,410450,410450,410450,..,..
Greenland,GRL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3663823635.61473,3926166709.012,4290395274.14051,4483270596.14879,..
Hungary,HUN,"Population, total",SP.POP.TOTL,9670419,9630932,9605074,9592186,9562314
Hungary,HUN,Surface area (sq. km),AG.SRF.TOTL.K2,93030,93030,93030,..,..
Hungary,HUN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,344108181960.693,374519891736.617,422741088429.769,435174441789.902,455509390728.313
Iceland,ISL,"Population, total",SP.POP.TOTL,366463,372520,382003,393349,404610
Iceland,ISL,Surface area (sq. km),AG.SRF.TOTL.K2,103000,103000,103000,..,..
Iceland,ISL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,20447442733.9865,22951036648.8571,28049039292.067,30156746997.1461,31664276580.4617
Ireland,IRL,"Population, total",SP.POP.TOTL,5039747,5110585,5212836,5307600,5380257
Ireland,IRL,Surface area (sq. km),AG.SRF.TOTL.K2,70280,70280,70280,..,..
Ireland,IRL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,492886866396.886,597445848156.993,709490152389.069,662924221900.406,705755786877.782
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84064,84106,84132,84165,84160
Isle of Man,IMN,Surface area (sq. km),AG.SRF.TOTL.K2,570,570,570,..,..
Isle of Man,IMN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
Italy,ITA,"Population, total",SP.POP.TOTL,59438851,59133173,59013667,58993475,58986023
Italy,ITA,Surface area (sq. km),AG.SRF.TOTL.K2,302068,302068,302070,..,..
Italy,ITA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2641203589480.81,2946333608376.65,3319366253339.18,3415333338674.66,3589121540312.88
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,19482117,19743603,20034609,20330104,20592571
Kazakhstan,KAZ,Surface area (sq. km),AG.SRF.TOTL.K2,2724900,2724900,2724902,..,..
Kazakhstan,KAZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,565757228613.755,650469813945.991,719143972705.045,783017688189.349,840445512071.735
Kosovo,XKX,"Population, total",SP.POP.TOTL,1790151,1786079,1768096,1682668,1527324
Kosovo,XKX,Surface area (sq. km),AG.SRF.TOTL.K2,..,..,..,..,..
Kosovo,XKX,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,18854775198.3459,22080260569.6251,24666524708.6885,26593569203.4249,28438508914.5235
