Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,39068979,40000412,40578842,41454761,42647492
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860,652860,652860,..,..
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,100094011602.726,85767546197.7544,86148711748.6848,91271896894.46,..
Algeria,DZA,"Population, total",SP.POP.TOTL,44042091,44761099,45477389,46164219,46814308
Algeria,DZA,Surface area (sq. km),AG.SRF.TOTL.K2,2381741,2381741,2381741,..,..
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,558300141593.952,648895630480.26,720184226953.646,776689344138.3,821720979879.888
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472204,1504365,1524693,1577059,1588670
Bahrain,BHR,Surface area (sq. km),AG.SRF.TOTL.K2,785,790,790,..,..
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,78668739612.8244,82671890844.1512,94039487080.4043,101201588299.581,106776082045.154
Djibouti,DJI,"Population, total",SP.POP.TOTL,1105188,1121248,1137096,1152944,1168722
Djibouti,DJI,Surface area (sq. km),AG.SRF.TOTL.K2,23200,23200,23200,..,..
Djibouti,DJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6108376123.1385,6682759257.72075,7529088292.28275,8375036988.61577,9088246562.64647
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,109315124,110957008,112618250,114535772,116538258
"Egypt, Arab Rep.",EGY,Surface area (sq. km),AG.SRF.TOTL.K2,1001450,1001450,1001450,..,..
"Egypt, Arab Rep.",EGY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1665073256894.19,1728601012503.64,1973837735890.74,2121756770377.81,2225198389821.18
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,87723443,88455488,89524246,90608707,91567738
"Iran, Islamic Rep.",IRN,Surface area (sq. km),AG.SRF.TOTL.K2,1745150,1745150,1745150,..,..
"Iran, Islamic Rep.",IRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1237805777178.19,1322577157396.53,1470380001563.54,1600138337693.92,1688651728561.7
Iraq,IRQ,"Population, total",SP.POP.TOTL,42116605,43071211,44070551,45074049,46042015
Iraq,IRQ,Surface area (sq. km),AG.SRF.TOTL.K2,435052,435050,435050,..,..
Iraq,IRQ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,445338053116.048,548372044650.92,634224994897.802,660448460341.748,665966378219.474
Israel,ISR,"Population, total",SP.POP.TOTL,9215100,9371400,9557500,9849000,9974400
Israel,ISR,Surface area (sq. km),AG.SRF.TOTL.K2,22070,22070,..,..,..
Israel,ISR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,377407052497.651,432603337813.424,511940108074.608,525948204389.143,555481708109.946
Jordan,JOR,"Population, total",SP.POP.TOTL,10865228,11066356,11256263,11439213,11552876
Jordan,JOR,Surface area (sq. km),AG.SRF.TOTL.K2,89318,89318,89318,..,..
Jordan,JOR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,104080200892.953,101616771489.092,111743557894.989,119103273959.643,125019343386.99
Kuwait,KWT,"Population, total",SP.POP.TOTL,4400267,4360865,4589643,4853420,4973861
Kuwait,KWT,Surface area (sq. km),AG.SRF.TOTL.K2,17820,17820,17820,..,..
Kuwait,KWT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,182442653725.594,220886348976.419,252627730077.861,257354882134.389,256830086700.12
Lebanon,LBN,"Population, total",SP.POP.TOTL,5702398,5718122,5744489,5773493,5805962
Lebanon,LBN,Surface area (sq. km),AG.SRF.TOTL.K2,10450,10450,10450,..,..
Lebanon,LBN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,92719310020.9046,66328931529.5091,70616088355.3971,72600709791.5249,..
Libya,LBY,"Population, total",SP.POP.TOTL,7045399,7135175,7223805,7305659,7381023
Libya,LBY,Surface area (sq. km),AG.SRF.TOTL.K2,1759540,1759540,1759540,..,..
Libya,LBY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,77180930238.7107,90199384483.2022,88656571302.4505,101174573849.539,102993304184.472
Malta,MLT,"Population, total",SP.POP.TOTL,515490,518150,531113,552747,574346
Malta,MLT,Surface area (sq. km),AG.SRF.TOTL.K2,320,320,320,..,..
Malta,MLT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25767995596.3613,29431961612.755,32124230942.0105,34864378137.2017,38690348766.4093
Morocco,MAR,"Population, total",SP.POP.TOTL,36584208,36954442,37329064,37712505,38081173
Morocco,MAR,Surface area (sq. km),AG.SRF.TOTL.K2,446550,446550,446550,..,..
Morocco,MAR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,286108585852.483,323485096796.555,351840396847.175,376906204043.986,398513761721.117
Oman,OMN,"Population, total",SP.POP.TOTL,4522497,4500424,4730226,5049269,5281538
Oman,OMN,Surface area (sq. km),AG.SRF.TOTL.K2,309500,309500,309500,..,..
Oman,OMN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,159026046195.661,174253981507.44,201584895347.812,211317905980.11,220050947267.551
Pakistan,PAK,"Population, total",SP.POP.TOTL,235001746,239477801,243700667,247504495,251269164
Pakistan,PAK,Surface area (sq. km),AG.SRF.TOTL.K2,796100,796100,796100,..,..
Pakistan,PAK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1186293820824.83,1285342890384.16,1442774797327.02,1494096011172.99,1579724190316.89
Qatar,QAT,"Population, total",SP.POP.TOTL,2794148,2504910,2657333,2656032,2857822
Qatar,QAT,Surface area (sq. km),AG.SRF.TOTL.K2,11490,11490,11490,..,..
Qatar,QAT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,229537462611.12,292655073655.389,326640697729.822,342411792316.801,360400243355.573
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,31552510,30784383,32175224,33702731,35300280
Saudi Arabia,SAU,Surface area (sq. km),AG.SRF.TOTL.K2,2149690,2149690,2149690,..,..
Saudi Arabia,SAU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1499327559869.91,1929888259783.05,2315588932554.49,2411929204431.52,2514913068784.39
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,21049429,21628839,22462173,23594623,24672760
Syrian Arab Republic,SYR,Surface area (sq. km),AG.SRF.TOTL.K2,185180,185180,185180,..,..
Syrian Arab Republic,SYR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,78675556558.0617,99337766654.2033,107199859817.267,109716574910.853,..
Tunisia,TUN,"Population, total",SP.POP.TOTL,11974057,12048622,12119334,12200431,12277109
Tunisia,TUN,Surface area (sq. km),AG.SRF.TOTL.K2,163610,163610,163610,..,..
Tunisia,TUN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,142707604074.227,149936984870.616,164920776695.978,170922172724.961,177419626655.921
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9401038,9575152,10074977,10483751,10876981
United Arab Emirates,ARE,Surface area (sq. km),AG.SRF.TOTL.K2,98647.9,98647.9,98647.9,..,..
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,614384479773.466,645375981350.196,743309077886.72,797922323198.497,847957424147.982
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4803269,4922749,5043612,5165775,5289152
West Bank and Gaza,PSE,Surface area (sq. km),AG.SRF.TOTL.K2,6020,6025,..,..,..
West Bank and Gaza,PSE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,28609644862.7012,27878126229.8832,31085036506.3256,30736464884.9718,23119472384.4172
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,36134863,37140230,38222876,39390799,40583164
"Yemen, Rep.",YEM,Surface area (sq. km),AG.SRF.TOTL.K2,527970,527970,527970,..,..
"Yemen, Rep.",YEM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,
