Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bermuda,BMU,"Population, total",SP.POP.TOTL,64382,64648,64749,64698,64636
Bermuda,BMU,Surface area (sq. km),AG.SRF.TOTL.K2,4290,4290,4290,..,..
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5481895565.20419,5968282122.23481,6807865902.96515,7399642886.20114,7738130438.58606
Canada,CAN,"Population, total",SP.POP.TOTL,38028638,38239864,38935934,40083484,41288599
Canada,CAN,Surface area (sq. km),AG.SRF.TOTL.K2,15640500,15634410,15634410,..,..
Canada,CAN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1847837502049.2,2179485548675.88,2475481278941.65,2583898469288.89,2702879648009.75
United States,USA,"Population, total",SP.POP.TOTL,331577720,332099760,334017321,336806231,340110988
United States,USA,Surface area (sq. km),AG.SRF.TOTL.K2,9831510,9831510,9831510,..,..
United States,USA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,21354104999999.9,23681171000000,26006893000000,27720709000000,29184890000000.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,
