Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bangladesh,BGD,"Population, total",SP.POP.TOTL,166298024,167658854,169384897,171466990,173562364
Bangladesh,BGD,Surface area (sq. km),AG.SRF.TOTL.K2,147570,147570,147570,..,..
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1104316059486.83,1247561124482.2,1431395376250.57,1568541874255.92,1674316179059.49
Bhutan,BTN,"Population, total",SP.POP.TOTL,770006,775442,780914,786385,791524
Bhutan,BTN,Surface area (sq. km),AG.SRF.TOTL.K2,38390,38390,38390,..,..
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9605861812.92756,10436528611.9245,11763540572.3864,12781872654.6775,..
India,IND,"Population, total",SP.POP.TOTL,1402617695,1414203896,1425423212,1438069596,1450935791
India,IND,Surface area (sq. km),AG.SRF.TOTL.K2,3287260,3287260,3287260,..,..
India,IND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,9771021183358.88,11384367630967.9,13124053155136.1,14845911292307.9,16190819718797.5
Maldives,MDV,"Population, total",SP.POP.TOTL,502118,516154,524106,525994,527799
Maldives,MDV,Surface area (sq. km),AG.SRF.TOTL.K2,300,300,300,..,..
Maldives,MDV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6741118651.2306,9834087308.92595,11991813788.7322,13010501267.78,14009213969.3321
Nepal,NPL,"Population, total",SP.POP.TOTL,28966574,29475010,29715436,29694614,29651054
Nepal,NPL,Surface area (sq. km),AG.SRF.TOTL.K2,147180,147180,147180,..,..
Nepal,NPL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,122690085757.445,134000165871.651,151637641435.803,160208624971.652,170096869228.542
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21919000,22156000,22181000,22037000,21916000
Sri Lanka,LKA,Surface area (sq. km),AG.SRF.TOTL.K2,65610,65610,65610,..,..
Sri Lanka,LKA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,283651681999.953,317188291991.223,314829453164.917,318559256926.749,342603896900.927
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes,License URL
